Student Number,Gender,Race Ethnicity,Parental Education,Lunch,Test Preparation,Math Score,Reading Score,Writing Score,Science Score,Total Score,Grade
std-4885,Male,group C,high school,0,0,12,80,96,65,253,B
std-4886,Male,group C,high school,1,1,34,88,82,51,255,B
std-4887,Male,group D,high school,1,0,74,56,81,65,276,B
std-4888,Male,group C,bachelor's degree,1,0,31,65,63,56,215,C
std-4889,Male,group C,high school,1,0,50,75,63,66,254,B
std-4890,Male,group C,associate's degree,1,0,43,69,29,74,215,C
std-4891,Male,group C,some high school,0,0,96,64,53,81,294,B
std-4892,Male,group D,high school,0,0,26,74,91,44,235,C
std-4893,Male,group B,some college,1,1,61,61,70,57,249,C
std-4894,Male,group B,some high school,1,0,16,100,72,89,277,B
std-4895,Male,group B,associate's degree,0,0,66,79,78,99,322,A
std-4896,Male,group D,associate's degree,0,0,15,49,52,81,197,D
std-4897,Male,group A,some high school,0,1,90,60,63,42,255,B
std-4898,Male,group D,some college,1,1,29,96,97,87,309,B
std-4899,Male,group D,some high school,1,1,41,94,60,13,208,C
std-4900,Male,group B,master's degree,0,1,57,100,95,83,335,A
std-4901,Male,group C,some high school,1,1,30,84,77,57,248,C
std-4902,Male,group C,associate's degree,1,0,86,80,66,58,290,B
std-4903,Male,group E,some college,1,1,62,75,100,67,304,B
std-4904,Male,group E,some college,0,0,49,50,51,77,227,C
std-4905,Male,group B,some college,0,1,52,84,74,53,263,B
std-4906,Male,group D,master's degree,0,0,56,49,67,82,254,B
std-4907,Male,group D,some college,1,1,55,80,100,36,271,B
std-4908,Male,group D,associate's degree,1,0,56,58,88,54,256,B
std-4909,Male,group B,some college,0,1,98,43,38,57,236,C
std-4910,Male,group B,some high school,0,0,57,56,69,44,226,C
std-4911,Male,group D,master's degree,1,0,24,80,62,70,236,C
std-4912,Male,group D,master's degree,1,0,40,52,63,30,185,D
std-4913,Male,group B,some college,0,1,79,94,63,84,320,A
std-4914,Male,group B,some high school,1,0,37,85,73,61,256,B
std-4915,Male,group C,bachelor's degree,0,0,53,69,32,78,232,C
std-4916,Male,group C,associate's degree,1,0,100,83,70,91,344,A
std-4917,Male,D,some college,1,1,73,88,46,67,274,B
std-4918,Male,group B,some college,1,0,36,91,10,53,190,D
std-4919,Male,group C,some college,1,0,51,68,98,45,262,B
std-4920,Male,group D,bachelor's degree,0,0,37,58,61,55,211,C
std-4921,Male,group B,some college,0,1,93,82,94,97,366,A
std-4922,Male,group C,some high school,1,0,40,46,53,100,239,C
std-4923,Male,group D,associate's degree,1,0,19,43,94,47,203,C
std-4924,Male,group C,associate's degree,0,1,29,100,67,70,266,B
std-4925,Male,group C,master's degree,0,0,48,95,82,46,271,B
std-4926,Male,group E,master's degree,0,1,73,27,97,100,297,B
std-4927,Male,group A,associate's degree,0,0,46,69,64,100,279,B
std-4928,Male,group A,bachelor's degree,0,1,58,61,74,73,266,B
std-4929,Male,group B,associate's degree,1,0,55,73,78,78,284,B
std-4930,Male,group D,some high school,1,1,59,84,77,86,306,B
std-4931,Male,group C,associate's degree,1,0,21,91,93,83,288,B
std-4932,Male,group C,some high school,0,0,94,62,100,16,272,B
std-4933,Male,group A,some high school,0,0,21,73,50,80,224,C
std-4934,Male,group D,high school,1,1,76,73,34,84,267,B
std-4935,Male,group C,some high school,1,0,69,53,69,80,271,B
std-4936,Male,group A,high school,1,0,29,80,82,67,258,B
std-4937,Male,group A,high school,0,1,45,67,38,37,187,D
std-4938,Male,group D,some college,1,0,34,100,98,85,317,B
std-4939,Male,group B,some college,1,0,12,100,49,92,253,B
std-4940,Male,group B,some high school,0,0,80,67,50,48,245,C
std-4941,Male,group B,associate's degree,1,0,78,57,41,84,260,B
std-4942,Male,group D,bachelor's degree,1,1,52,71,76,63,262,B
std-4943,Male,group B,associate's degree,1,0,29,100,73,84,286,B
std-4944,Male,group E,high school,1,0,35,92,52,37,216,C
std-4945,Male,group B,high school,0,1,77,100,62,44,283,B
std-4946,Male,group C,associate's degree,0,1,49,73,78,73,273,B
std-4947,Male,group E,associate's degree,0,0,35,68,60,28,191,D
std-4948,Male,group B,associate's degree,1,1,19,79,100,73,271,B
std-4949,Male,group D,master's degree,1,1,54,75,41,83,253,B
std-4950,Male,group A,bachelor's degree,1,1,28,59,95,45,227,C
std-4951,Male,group C,bachelor's degree,1,0,63,64,58,15,200,C
std-4952,Male,group D,associate's degree,1,1,100,100,76,65,341,A
std-4953,Male,group E,some high school,1,0,10,94,63,68,235,C
std-4954,Male,group C,associate's degree,1,0,100,63,49,57,269,B
std-4955,Male,group D,master's degree,1,1,92,97,38,51,278,B
std-4956,Male,group C,high school,1,1,85,73,78,85,321,A
std-4957,Male,group C,some high school,0,0,67,80,82,49,278,B
std-4958,Male,group D,bachelor's degree,0,1,72,64,87,71,294,B
std-4959,Male,group B,some high school,0,1,90,83,91,100,364,A
std-4960,Male,group A,associate's degree,1,0,0,91,64,60,215,C
std-4961,Male,group B,some college,1,1,70,41,57,62,230,C
std-4962,Male,group B,some high school,0,0,50,41,55,44,190,D
std-4963,Male,group E,high school,0,0,42,35,39,60,176,D
std-4964,Male,group E,some college,0,0,26,63,31,31,151,D
std-4965,Male,group D,some college,1,0,36,84,86,21,227,C
std-4966,Male,group D,some college,0,0,28,80,83,59,250,B
std-4967,Male,group C,high school,1,0,18,52,65,59,194,D
std-4968,Male,group C,some college,0,0,49,87,58,74,268,B
std-4969,Male,group D,high school,1,1,62,88,92,43,285,B
std-4970,Male,group D,some high school,1,1,49,86,60,64,259,B
std-4971,Male,group D,bachelor's degree,1,0,23,83,51,53,210,C
std-4972,Male,group A,some college,0,0,98,100,59,78,335,A
std-4973,Male,group C,some high school,0,0,32,97,64,62,255,B
std-4974,Male,group C,master's degree,1,0,82,51,79,61,273,B
std-4975,Male,group C,associate's degree,1,1,52,47,100,56,255,B
std-4976,Male,group B,some college,1,0,38,55,67,9,169,D
std-4977,Male,group B,some college,1,1,42,79,69,44,234,C
std-4978,Male,group D,some high school,1,1,49,46,58,87,240,C
std-4979,Male,group C,high school,1,0,16,39,48,66,169,D
std-4980,Male,group C,some high school,1,0,42,60,51,96,249,C
std-4981,Male,group C,some college,1,0,68,98,77,91,334,A
std-4982,Male,group C,high school,1,0,29,64,85,42,220,C
std-4983,Male,group B,some high school,0,0,82,52,65,50,249,C
std-4984,Male,group D,high school,1,1,64,100,78,17,259,B
std-4985,Male,group D,high school,1,0,16,91,36,99,242,C
std-4986,Male,group C,some high school,1,0,86,73,93,52,304,B
std-4987,Male,group C,some college,1,1,19,55,83,79,236,C
std-4988,Male,group C,high school,1,0,54,75,58,53,240,C
std-4989,Male,group A,bachelor's degree,1,1,45,57,95,46,243,C
std-4990,Male,group E,some high school,1,0,19,54,97,9,179,D
std-4991,Male,group C,high school,1,1,48,86,34,45,213,C
std-4992,Male,group D,high school,0,1,9,100,92,27,228,C
std-4993,Male,group B,associate's degree,1,0,20,58,73,44,195,D
std-4994,Male,group C,some college,1,0,59,57,56,85,257,B
std-4995,Male,group B,associate's degree,1,1,40,100,94,94,328,A
std-4996,Male,group E,master's degree,0,0,33,60,100,70,263,B
std-4997,Male,group E,some college,1,0,76,100,56,88,320,A
std-4998,Male,group D,bachelor's degree,0,1,53,62,76,43,234,C
std-4999,Male,group C,associate's degree,0,0,58,68,29,46,201,C
std-5000,Male,group A,high school,0,0,37,80,75,65,257,B
std-5001,Female,group A,associate's degree,1,1,70,66,59,51,246,C
std-5002,Female,group B,associate's degree,0,1,56,65,85,46,252,B
std-5003,Female,group A,some high school,1,1,64,44,70,90,268,B
std-5004,Female,group B,some high school,1,0,74,100,84,72,330,A
std-5005,Female,group B,bachelor's degree,1,0,65,50,39,93,247,C
std-5006,Female,group A,some high school,1,1,80,87,68,88,323,A
std-5007,Female,group D,associate's degree,0,0,92,69,74,73,308,B
std-5008,Female,group B,master's degree,1,1,66,95,42,80,283,B
std-5009,Female,group B,some high school,1,1,77,41,81,60,259,B
std-5010,Female,group B,some high school,1,1,51,46,100,63,260,B
std-5011,Female,group D,some college,0,0,53,87,100,68,308,B
std-5012,Female,group B,some college,0,0,27,100,70,34,231,C
std-5013,Female,group D,high school,1,0,57,51,97,83,288,B
std-5014,Female,group A,bachelor's degree,1,0,60,70,80,85,295,B
std-5015,Female,group D,high school,0,0,56,66,87,74,283,B
std-5016,Female,group B,high school,1,1,61,85,100,62,308,B
std-5017,Female,group E,some college,1,0,56,61,87,91,295,B
std-5018,Female,group D,master's degree,1,0,61,96,56,70,283,B
std-5019,Female,group D,high school,1,1,59,69,100,60,288,B
std-5020,Female,group E,bachelor's degree,0,1,87,100,40,45,272,B
std-5021,Female,group C,some college,1,0,78,84,79,55,296,B
std-5022,Female,group C,bachelor's degree,1,1,64,82,80,79,305,B
std-5023,Female,group C,high school,0,0,57,59,100,60,276,B
std-5024,Female,group B,some college,1,1,37,54,76,51,218,C
std-5025,Female,group D,associate's degree,1,0,58,57,97,78,290,B
std-5026,Female,group D,associate's degree,1,1,98,55,55,80,288,B
std-5027,Female,group C,high school,1,1,74,60,89,79,302,B
std-5028,Female,group C,associate's degree,1,1,40,60,99,59,258,B
std-5029,Female,group C,high school,1,1,47,53,100,70,270,B
std-5030,Female,group E,some college,1,0,64,76,70,87,297,B
std-5031,Female,group E,high school,0,0,27,62,96,65,250,B
std-5032,Female,group A,some college,1,0,43,50,94,77,264,B
std-5033,Female,group C,some high school,1,0,70,71,73,94,308,B
std-5034,Female,group D,high school,1,1,63,81,94,56,294,B
std-5035,Female,group D,associate's degree,0,0,47,47,53,73,220,C
std-5036,Female,group E,high school,1,0,90,63,95,74,322,A
std-5037,Female,group C,high school,1,1,92,61,96,89,338,A
std-5038,Female,group B,some high school,1,1,100,100,48,68,316,B
std-5039,Female,group C,bachelor's degree,0,0,27,54,97,94,272,B
std-5040,Female,group D,some college,0,0,76,79,68,64,287,B
std-5041,Female,group C,high school,0,0,67,97,91,77,332,A
std-5042,Female,group C,associate's degree,0,1,82,70,73,70,295,B
std-5043,Female,group B,high school,0,1,87,39,72,70,268,B
std-5044,Female,group C,some college,1,0,76,65,91,69,301,B
std-5045,Female,group C,associate's degree,1,0,83,59,84,68,294,B
std-5046,Female,group C,associate's degree,1,1,79,77,88,64,308,B
std-5047,Female,group B,some college,1,1,87,94,99,90,370,A
std-5048,Female,group E,some high school,1,0,35,61,88,75,259,B
std-5049,Female,group C,associate's degree,1,0,55,71,62,70,258,B
std-5050,Female,group D,bachelor's degree,1,1,59,51,83,91,284,B
std-5051,Female,group C,associate's degree,1,1,77,54,72,80,283,B
std-5052,Female,group E,some high school,1,1,69,90,54,77,290,B
std-5053,Female,group C,some college,0,1,39,60,93,60,252,B
std-5054,Female,group C,associate's degree,1,0,44,50,100,61,255,B
std-5055,Female,group B,some college,1,0,27,100,100,86,313,B
std-5056,Female,group C,associate's degree,1,1,47,51,83,62,243,C
std-5057,Female,group D,associate's degree,1,0,93,44,100,72,309,B
std-5058,Female,group C,some high school,0,0,58,68,86,66,278,B
std-5059,Female,group C,associate's degree,1,1,71,66,76,92,305,B
std-5060,Female,group C,some high school,1,1,49,79,73,88,289,B
std-5061,Female,group C,some college,0,0,96,94,64,55,309,B
std-5062,Female,group E,some high school,1,0,41,64,42,73,220,C
std-5063,Female,group A,some high school,1,0,51,82,89,34,256,B
std-5064,Female,group D,high school,1,0,55,50,75,62,242,C
std-5065,Female,group C,some high school,0,1,75,70,100,56,301,B
std-5066,Female,group D,some college,0,1,51,98,42,91,282,B
std-5067,Female,group C,some college,0,1,67,46,71,79,263,B
std-5068,Female,group C,associate's degree,1,0,38,99,95,67,299,B
std-5069,Female,group C,associate's degree,1,0,59,73,73,70,275,B
std-5070,Female,group E,bachelor's degree,1,0,30,34,100,56,220,C
std-5071,Female,group C,some college,1,0,65,89,100,72,326,A
std-5072,Female,group C,high school,1,0,96,69,75,74,314,B
std-5073,Female,group D,bachelor's degree,1,0,82,23,79,37,221,C
std-5074,Female,group B,high school,1,0,79,64,96,94,333,A
std-5075,Female,group C,high school,1,1,76,31,89,87,283,B
std-5076,Female,group C,high school,0,1,69,75,80,95,319,B
std-5077,Female,group D,high school,0,0,67,92,33,78,270,B
std-5078,Female,group B,associate's degree,1,0,71,52,70,93,286,B
std-5079,Female,group C,some high school,1,0,30,100,99,76,305,B
std-5080,Female,group D,bachelor's degree,1,0,50,77,93,46,266,B
std-5081,Female,group C,bachelor's degree,0,1,39,91,61,66,257,B
std-5082,Female,group C,some high school,0,1,32,71,57,62,222,C
std-5083,Female,group C,associate's degree,1,0,39,55,48,75,217,C
std-5084,Female,group D,associate's degree,1,0,83,58,97,92,330,A
std-5085,Female,group A,master's degree,0,1,65,61,87,61,274,B
std-5086,Female,group B,some college,1,0,80,60,82,83,305,B
std-5087,Female,group D,high school,0,1,40,65,56,39,200,C
std-5088,Female,group D,some college,1,0,27,100,76,70,273,B
std-5089,Female,group D,some college,1,0,92,43,37,62,234,C
std-5090,Female,group C,some college,0,1,44,77,95,75,291,B
std-5091,Female,group C,some college,1,0,49,54,97,95,295,B
std-5092,Female,group B,high school,0,0,29,56,80,83,248,C
std-5093,Female,group A,associate's degree,1,0,91,57,74,90,312,B
std-5094,Female,group A,high school,1,0,68,57,91,85,301,B
std-5095,Female,group C,associate's degree,0,1,61,84,100,89,334,A
std-5096,Female,group C,some college,0,1,34,54,80,82,250,B
std-5097,Female,group D,bachelor's degree,1,0,90,66,42,46,244,C
std-5098,Female,group D,some college,1,1,89,53,77,57,276,B
std-5099,Female,group C,some college,1,0,66,78,84,35,263,B
std-5100,Female,group C,bachelor's degree,1,1,56,62,86,88,292,B
std-5101,Female,group B,associate's degree,1,0,36,91,57,74,258,B
std-5102,Female,group C,associate's degree,1,0,77,54,57,79,267,B
std-5103,Female,group B,some college,1,0,100,82,93,85,360,A
std-5104,Female,group A,some college,1,0,43,68,67,60,238,C
std-5105,Female,group C,some college,0,0,80,72,80,60,292,B
std-5106,Female,group D,high school,0,0,84,46,89,70,289,B
std-5107,Female,group E,some high school,0,0,75,74,69,35,253,B
std-5108,Female,group B,some college,0,1,82,84,79,76,321,A
std-5109,Female,group D,some college,0,1,85,62,51,73,271,B
std-5110,Female,group C,associate's degree,1,0,63,61,94,91,309,B
std-5111,Female,group D,associate's degree,1,1,48,100,65,76,289,B
std-5112,Female,group C,master's degree,0,0,44,63,100,88,295,B
std-5113,Female,group C,bachelor's degree,1,0,45,39,76,78,238,C
std-5114,Female,group D,some college,0,1,71,67,69,71,278,B
std-5115,Female,group D,high school,0,0,72,94,43,67,276,B
std-5116,Female,group C,some college,1,0,54,45,67,68,234,C
std-5117,Female,group E,associate's degree,1,0,85,50,68,90,293,B
std-5118,Female,group E,some high school,1,0,75,80,86,57,298,B
std-5119,Female,group E,some college,1,0,79,74,90,67,310,B
std-5120,Female,group B,associate's degree,0,0,54,100,99,68,321,A
std-5121,Female,group C,some high school,0,0,100,84,52,43,279,B
std-5122,Female,group C,some college,0,0,58,48,78,32,216,C
std-5123,Female,group D,some college,1,0,70,58,64,70,262,B
std-5124,Female,group C,some college,1,0,79,62,81,67,289,B
std-5125,Female,group A,some high school,1,1,48,74,41,85,248,C
std-5126,Female,group A,some high school,0,0,94,51,65,98,308,B
std-5127,Female,group C,master's degree,0,0,47,71,62,89,269,B
std-5128,Female,group C,bachelor's degree,1,0,57,100,89,88,334,A
std-5129,Female,group D,associate's degree,1,0,82,85,100,65,332,A
std-5130,Female,group A,associate's degree,0,0,63,86,70,69,288,B
std-5131,Female,group A,some college,0,0,70,48,49,92,259,B
std-5132,Female,group C,high school,1,0,45,46,65,66,222,C
std-5133,Female,group D,high school,0,0,59,85,97,74,315,B
std-5134,Female,group E,associate's degree,1,0,46,76,61,71,254,B
std-5135,Female,group D,associate's degree,0,0,66,64,73,70,273,B
std-5136,Female,group E,high school,0,0,100,60,100,70,330,A
std-5137,Female,group D,some high school,1,0,49,55,63,63,230,C
std-5138,Female,group D,high school,1,1,50,97,75,53,275,B
std-5139,Female,group C,some college,1,0,86,100,66,81,333,A
std-5140,Female,group E,some high school,0,0,55,58,98,94,305,B
std-5141,Female,group B,some high school,1,1,53,66,63,56,238,C
std-5142,Female,group C,high school,1,0,27,71,61,87,246,C
std-5143,Female,group B,some college,0,1,40,63,87,54,244,C
std-5144,Female,group D,associate's degree,1,0,89,48,69,54,260,B
std-5145,Female,group D,some high school,1,1,65,85,51,67,268,B
std-5146,Female,group A,some high school,1,0,37,60,80,75,252,B
std-5147,Female,group A,some college,0,0,63,55,92,78,288,B
std-5148,Female,group B,high school,1,0,64,51,45,53,213,C
std-5149,Female,group C,some college,1,0,57,38,74,77,246,C
std-5150,Female,group C,some college,1,0,98,85,84,90,357,A
std-5151,Female,group E,associate's degree,0,0,71,55,93,93,312,B
std-5152,Female,group C,high school,1,0,69,43,73,49,234,C
std-5153,Female,group C,master's degree,1,1,85,82,75,78,320,A
std-5154,Female,group C,high school,1,1,32,61,100,76,269,B
std-5155,Female,group C,bachelor's degree,1,1,37,81,80,95,293,B
std-5156,Female,group D,bachelor's degree,0,0,71,78,48,76,273,B
std-5157,Female,group C,associate's degree,1,0,54,42,70,41,207,C
std-5158,Female,group A,master's degree,1,1,63,70,88,95,316,B
std-5159,Female,group D,some high school,1,0,52,48,100,79,279,B
std-5160,Female,group D,associate's degree,1,1,38,95,83,45,261,B
std-5161,Female,group C,some college,0,1,78,98,76,47,299,B
std-5162,Female,group D,some college,1,1,68,62,61,72,263,B
std-5163,Female,group C,high school,1,1,54,88,55,99,296,B
std-5164,Female,group C,high school,1,0,70,85,96,69,320,A
std-5165,Female,group C,some high school,1,0,27,76,80,95,278,B
std-5166,Female,group C,some high school,1,1,61,94,76,50,281,B
std-5167,Female,group D,some high school,0,0,80,82,75,45,282,B
std-5168,Female,group D,high school,1,1,56,61,65,81,263,B
std-5169,Female,group B,bachelor's degree,1,0,79,90,84,93,346,A
std-5170,Female,group A,bachelor's degree,0,0,64,69,49,56,238,C
std-5171,Female,group E,some high school,0,1,45,70,100,77,292,B
std-5172,Female,group D,high school,1,1,37,69,78,76,260,B
std-5173,Female,group D,some college,0,0,81,62,85,80,308,B
std-5174,Female,group B,high school,1,0,48,76,82,94,300,B
std-5175,Female,group D,some high school,1,0,41,56,71,71,239,C
std-5176,Female,group C,high school,0,0,68,69,84,87,308,B
std-5177,Female,group D,some high school,0,0,74,81,83,86,324,A
std-5178,Female,group A,bachelor's degree,0,0,51,77,95,88,311,B
std-5179,Female,group E,high school,0,0,50,96,89,29,264,B
std-5180,Female,group C,some high school,0,0,65,82,61,86,294,B
std-5181,Female,group C,some high school,0,0,35,69,63,88,255,B
std-5182,Female,group B,master's degree,0,0,63,98,75,61,297,B
std-5183,Female,group D,associate's degree,1,0,88,83,49,100,320,A
std-5184,Female,group C,some high school,1,1,78,57,73,76,284,B
std-5185,Female,group D,bachelor's degree,0,1,41,49,79,79,248,C
std-5186,Female,group C,master's degree,0,0,79,87,71,73,310,B
std-5187,Female,group E,high school,1,0,56,63,94,79,292,B
std-5188,Female,group B,some college,0,0,71,100,69,41,281,B
std-5189,Female,group D,some college,1,0,83,100,85,78,346,A
std-5190,Female,group C,master's degree,1,1,27,65,67,63,222,C
std-5191,Female,group B,high school,1,0,71,59,88,52,270,B
std-5192,Female,group C,associate's degree,1,0,66,71,87,87,311,B
std-5193,Female,group B,some college,1,1,71,30,100,45,246,C
std-5194,Female,group A,bachelor's degree,1,1,76,100,85,60,321,A
std-5195,Female,group A,some high school,1,1,57,65,89,88,299,B
std-5196,Female,group B,some college,1,1,73,63,73,80,289,B
std-5197,Female,group E,some college,0,0,29,77,71,38,215,C
std-5198,Female,group C,some college,1,0,100,23,79,67,269,B
std-5199,Female,group A,associate's degree,0,1,55,99,85,62,301,B
std-5200,Female,group C,associate's degree,1,0,35,62,81,51,229,C
std-5201,Female,group A,some college,0,1,81,46,67,93,287,B
std-5202,Female,group C,associate's degree,1,1,55,78,90,68,291,B
std-5203,Female,group A,some high school,1,0,66,77,98,79,320,A
std-5204,Female,group B,associate's degree,1,1,67,90,95,92,344,A
std-5205,Female,group B,some college,1,1,72,39,41,73,225,C
std-5206,Female,group E,some college,1,0,57,77,90,91,315,B
std-5207,Female,group C,some high school,1,0,90,55,90,36,271,B
std-5208,Female,group B,some high school,1,1,35,76,59,68,238,C
std-5209,Female,group C,high school,1,0,82,72,65,78,297,B
std-5210,Female,group C,some college,1,0,71,62,43,83,259,B
std-5211,Female,group B,bachelor's degree,0,0,67,59,87,71,284,B
std-5212,Female,group C,bachelor's degree,1,0,87,82,90,78,337,A
std-5213,Female,group B,some college,1,1,70,68,69,58,265,B
std-5214,Female,group C,some college,1,1,73,32,89,63,257,B
std-5215,Female,group D,some high school,1,1,27,23,86,100,236,C
std-5216,Female,group B,some college,1,0,34,55,71,87,247,C
std-5217,Female,group C,master's degree,1,0,50,67,55,30,202,C
std-5218,Female,group D,high school,1,0,77,100,55,66,298,B
std-5219,Female,group D,some college,0,1,53,53,86,33,225,C
std-5220,Female,group B,some college,1,0,31,89,100,66,286,B
std-5221,Female,group D,some high school,1,0,88,24,95,87,294,B
std-5222,Female,group A,some high school,1,1,88,52,63,83,286,B
std-5223,Female,group D,associate's degree,0,1,69,55,76,76,276,B
std-5224,Female,group B,associate's degree,0,1,43,95,90,85,313,B
std-5225,Female,group D,high school,0,0,50,56,76,63,245,C
std-5226,Female,group C,some high school,1,0,79,66,88,78,311,B
std-5227,Female,group D,associate's degree,1,0,28,32,59,98,217,C
std-5228,Female,group E,bachelor's degree,0,0,44,61,90,90,285,B
std-5229,Female,group C,associate's degree,1,0,77,72,100,87,336,A
std-5230,Female,group D,high school,1,1,88,53,81,32,254,B
std-5231,Female,group D,some college,1,1,75,86,84,91,336,A
std-5232,Female,group A,bachelor's degree,0,1,76,84,84,44,288,B
std-5233,Female,group D,master's degree,1,0,81,70,68,70,289,B
std-5234,Female,group D,high school,1,0,73,89,98,47,307,B
std-5235,Female,group C,high school,1,1,77,80,96,77,330,A
std-5236,Female,group A,high school,1,0,31,68,58,84,241,C
std-5237,Female,group D,some college,0,0,48,63,72,32,215,C
std-5238,Female,group A,associate's degree,0,0,61,64,99,46,270,B
std-5239,Female,group E,bachelor's degree,1,0,54,63,79,79,275,B
std-5240,Female,group D,associate's degree,1,1,56,80,80,84,300,B
std-5241,Female,group D,master's degree,1,0,88,74,85,67,314,B
std-5242,Female,group D,bachelor's degree,1,0,100,84,70,84,338,A
std-5243,Female,group B,some college,1,0,27,72,93,82,274,B
std-5244,Female,group B,some high school,1,0,56,61,83,35,235,C
std-5245,Female,group D,high school,1,1,59,64,59,84,266,B
std-5246,Female,group B,some college,1,1,81,56,76,73,286,B
std-5247,Female,group C,some high school,1,1,90,100,86,80,356,A
std-5248,Female,group B,some high school,1,0,75,49,74,80,278,B
std-5249,Female,group B,associate's degree,1,0,72,75,66,72,285,B
std-5250,Female,group C,some high school,1,1,58,46,84,95,283,B
std-5251,Female,group E,some college,0,0,66,48,58,75,247,C
std-5252,Female,group D,high school,0,0,86,73,63,53,275,B
std-5253,Female,group B,bachelor's degree,1,0,33,52,72,42,199,D
std-5254,Female,group B,some high school,1,0,56,72,71,72,271,B
std-5255,Female,group D,high school,1,0,33,85,61,76,255,B
std-5256,Female,group B,associate's degree,1,1,91,45,68,78,282,B
std-5257,Female,group C,some high school,1,0,53,67,82,75,277,B
std-5258,Female,group D,some high school,0,0,56,46,75,100,277,B
std-5259,Female,group A,bachelor's degree,1,1,87,98,65,84,334,A
std-5260,Female,group C,some college,1,1,57,70,94,54,275,B
std-5261,Female,group B,some high school,1,0,68,96,65,67,296,B
std-5262,Female,group D,high school,1,0,100,37,53,76,266,B
std-5263,Female,group C,some high school,1,0,60,75,82,59,276,B
std-5264,Female,group C,some college,1,0,71,69,69,49,258,B
std-5265,Female,group A,master's degree,0,1,67,74,73,45,259,B
std-5266,Female,group C,some high school,0,1,84,63,99,64,310,B
std-5267,Female,group D,bachelor's degree,0,0,83,56,72,96,307,B
std-5268,Female,group E,some high school,1,1,50,73,95,34,252,B
std-5269,Female,group D,some high school,1,1,51,74,91,67,283,B
std-5270,Female,group A,some college,1,1,58,100,61,57,276,B
std-5271,Female,group C,some high school,1,1,96,89,71,58,314,B
std-5272,Female,group D,associate's degree,1,1,78,62,65,67,272,B
std-5273,Female,group E,high school,0,0,47,99,83,96,325,A
std-5274,Female,group B,some college,1,0,77,79,83,82,321,A
std-5275,Female,group A,some high school,1,1,67,50,77,71,265,B
std-5276,Female,group D,some college,1,1,76,100,74,63,313,B
std-5277,Female,group D,associate's degree,1,0,67,68,42,27,204,C
std-5278,Female,group B,some high school,1,0,46,85,63,58,252,B
std-5279,Female,group C,some college,1,0,73,77,68,84,302,B
std-5280,Female,group B,master's degree,1,0,73,52,65,74,264,B
std-5281,Female,group D,some college,1,0,67,74,74,54,269,B
std-5282,Female,group E,some high school,1,0,81,88,80,73,322,A
std-5283,Female,group D,some college,1,1,69,85,41,64,259,B
std-5284,Female,group E,some high school,1,0,76,55,77,69,277,B
std-5285,Female,group A,associate's degree,1,1,27,89,98,62,276,B
std-5286,Female,group A,associate's degree,1,0,90,76,53,98,317,B
std-5287,Female,group C,some high school,0,1,66,73,59,33,231,C
std-5288,Female,group D,associate's degree,1,0,77,73,71,67,288,B
std-5289,Female,group A,associate's degree,1,1,75,65,76,32,248,C
std-5290,Female,group C,associate's degree,1,0,61,69,85,87,302,B
std-5291,Female,group D,some college,1,0,91,30,74,56,251,B
std-5292,Female,group E,some high school,0,0,57,51,91,57,256,B
std-5293,Female,group A,bachelor's degree,0,0,55,98,81,54,288,B
std-5294,Female,group C,high school,1,1,98,48,71,75,292,B
std-5295,Female,group D,associate's degree,0,0,50,91,81,45,267,B
std-5296,Female,group C,some high school,0,0,100,36,92,67,295,B
std-5297,Female,group B,master's degree,0,0,55,60,100,55,270,B
std-5298,Female,group C,some college,0,1,88,53,35,67,243,C
std-5299,Female,group B,some college,0,1,77,32,56,100,265,B
std-5300,Female,group B,associate's degree,1,0,47,98,97,74,316,B
std-5301,Female,group D,some high school,1,0,92,62,73,44,271,B
std-5302,Female,group C,some college,1,0,60,69,43,73,245,C
std-5303,Female,group A,some college,0,0,41,70,79,26,216,C
std-5304,Female,group D,high school,1,1,63,57,58,34,212,C
std-5305,Female,group D,some college,1,1,88,58,61,58,265,B
std-5306,Female,group C,associate's degree,1,0,59,80,85,76,300,B
std-5307,Female,group B,some high school,0,1,83,75,54,86,298,B
std-5308,Female,group A,bachelor's degree,1,1,55,85,72,43,255,B
std-5309,Female,group C,associate's degree,1,0,78,45,86,89,298,B
std-5310,Female,group B,associate's degree,1,1,55,52,98,84,289,B
std-5311,Female,group C,associate's degree,1,0,50,56,75,58,239,C
std-5312,Female,group A,master's degree,1,0,96,26,100,69,291,B
std-5313,Female,group D,bachelor's degree,1,1,62,56,100,58,276,B
std-5314,Female,group B,some college,1,0,57,30,83,68,238,C
std-5315,Female,group C,some high school,1,0,34,47,69,88,238,C
std-5316,Female,group C,bachelor's degree,1,0,50,84,58,90,282,B
std-5317,Female,group C,some high school,1,0,40,84,59,96,279,B
std-5318,Female,group E,some college,1,0,63,67,89,72,291,B
std-5319,Female,group A,high school,1,0,91,74,60,73,298,B
std-5320,Female,group B,high school,0,1,80,100,70,66,316,B
std-5321,Female,group E,some high school,1,1,85,37,57,61,240,C
std-5322,Female,group C,some high school,0,0,74,58,64,80,276,B
std-5323,Female,group C,bachelor's degree,1,0,78,77,77,83,315,B
std-5324,Female,group C,associate's degree,0,1,65,43,38,94,240,C
std-5325,Female,group C,bachelor's degree,1,0,79,97,96,85,357,A
std-5326,Female,group A,some college,0,1,48,66,48,75,237,C
